Id,Price
4567,165265.81620862999
5925,117873.55121870762
960,140626.89099545183
3848,165775.10714645375
746,175470.10154050137
868,380491.98848289164
672,118131.82135484152
2471,204268.48869297013
4510,119063.25490722056
8354,236661.53545921686
6393,177076.53706599146
13270,230124.12815713137
5250,238323.63389853365
16751,167825.4267821026
11404,132256.55031815846
10588,339277.22713653895
14925,186724.61132210025
6791,222148.07356788244
16097,203665.3883621025
16428,318235.6136581089
6945,353656.5254177539
3190,186744.50646730716
15709,478546.7652237521
13155,180455.23376648797
7675,204216.27310239378
14686,239208.2198266607
609,175106.11976795126
11155,131493.13655824782
10869,230346.38394001988
15742,183071.9065368874
9245,189929.14780833342
3340,185709.32120235485
2359,267355.33750689344
8070,208074.5216812614
13707,134574.71622153645
16079,236460.5964889174
15937,248997.05158030184
14090,167147.81967853731
9008,218175.15197200445
16384,198666.97139023725
11657,259678.09084586988
13151,152460.0602269627
8990,191905.98579935686
11857,189757.5132443237
1565,164858.83387624467
8174,120948.43436225598
9247,230892.5782027197
10478,216355.6902036586
15509,148494.52226028516
8306,193811.88368489372
6642,189023.01833492026
7472,200311.56478580355
15989,135397.82595783027
13682,125651.54754959652
163,304247.6318599328
7076,176245.08755132108
7478,362885.0165184276
3029,188921.8920707156
1814,143234.13538481505
10057,149891.41293693488
15100,203764.58939147377
12694,234429.57788850355
6291,176557.97528728243
12603,210684.8226984859
3218,249875.36831042173
13456,129607.9512475163
10170,243222.21229275662
4530,141622.85974267987
13329,168188.3972154164
4820,141810.79530476837
10896,162432.1479288732
13416,113127.77305285282
2701,209818.93097915273
11265,325004.7858248521
9189,273282.21967311663
1858,179173.37069134566
14536,243099.2248511644
6199,305942.9159201658
14730,154904.80152634927
7510,269583.8202270801
15505,164638.01704712736
7446,179586.5315166184
14016,190787.6644248611
14113,113986.32627057954
8721,284230.9348425459
6193,301743.319085365
5717,176265.42814869375
5427,300018.3069915205
9520,564695.7538103578
6869,100686.5460136264
1658,155664.4131271151
6639,184931.65510424116
6283,185486.17924234972
6257,120528.75582428953
15235,189389.77011253935
902,214997.9284830554
8932,200972.49335007425
16469,317010.3459399946
2825,265368.06305805413
6450,432116.8939086854
11366,184695.65217934025
3801,302044.2887954522
11385,221938.73677792988
1079,202226.77167693633
3202,237488.87820003857
676,198069.2312488394
6185,261508.4836063175
7730,165249.94182375688
2573,179499.93560832817
10978,210255.83406712717
10962,250186.72292993905
8870,206445.99990946043
8496,172331.23228153746
5517,173369.11390292484
927,191275.01289605457
13675,187996.65053363732
1499,215951.05870976948
15536,317495.4526869767
8602,339954.79393126356
12137,418333.4138938426
9865,261090.31974357218
16353,276615.2411362512
15908,224177.48090456717
3944,182896.06904643824
10359,208439.32686265215
15158,206752.36608501192
3259,268372.0027340981
7220,316458.0009436243
13843,215794.3196990079
16736,157285.51420317325
702,244280.10945701017
16401,110310.82996846321
12134,174605.6207224288
6918,207101.38711562508
11792,173188.9412128331
3798,145468.08284564174
10395,127333.22354655509
11099,127429.00198855523
7090,202979.19409931335
11260,196994.61362876202
9647,214657.90051740519
2903,373495.8277762553
2071,187076.1347690183
8604,196345.3804643424
9346,198428.29009213657
3945,211928.1772163972
3420,141315.32083271467
10842,129705.54269525582
725,169866.86734317945
13931,213239.50617636723
16330,206234.96509675187
9066,444257.74775998766
3326,320105.6069171166
1556,272522.260466583
6579,104789.0211590818
13877,148647.77035051762
9857,313084.4175520147
7302,263238.55115630885
5684,185489.06491585769
6513,228638.5614797217
11342,119276.91454999801
16561,230230.20814440443
6885,176931.1214550377
9308,185039.5773293367
2559,169705.98380948603
6648,188388.0463518451
15260,172599.1173619049
5113,185292.5870761255
16492,195360.10968524803
12034,280116.5319102169
7248,200711.76439480827
2171,210310.1136657441
10594,163282.43120674937
13241,190422.6503899135
7032,143202.39007442258
4884,146585.05424171677
903,233229.82876529358
162,158302.32344213413
6566,224854.30235249692
8249,120918.63918602307
13106,201534.34938012445
256,125182.43740420841
7976,166527.800925694
8575,169099.59740834002
7591,300114.2282887033
3204,261447.8296857822
15804,192885.8666579497
1525,293466.8375831046
9038,200356.0044557733
13628,196532.12065091002
10016,211187.9455594752
10208,239897.22170008603
2008,177720.25090549412
13029,191897.17379996114
5099,126414.94469083825
9923,263996.0268444439
9461,145176.0192207153
11086,163062.56464881415
15057,222683.05710445627
10689,171105.82279749707
2053,237954.46865739278
16630,166779.77136874068
4985,161383.2668337723
13881,244333.47069336238
13225,196336.31734810275
5779,65830.71056502861
10262,188893.72696827236
10762,229056.2517239818
9513,196388.18360330194
11128,156174.2269458891
2074,307961.14565757575
933,204014.03741831615
2780,191865.00417142108
6594,140373.46894889904
15394,350466.33897574054
14863,140774.28489494088
6698,224166.21076266258
1611,297576.5641852039
174,191188.3286672467
5160,216213.77195336312
3295,319129.13732741674
4559,363114.1084410232
8254,175080.22232717846
10228,107301.30744833431
13924,137064.58683095974
15341,242230.77673475113
4353,191990.22192519502
4334,69515.9948340536
1872,161982.2591211857
